bull_id,backfat_thickness,ribeye_area,marbling_score,dressing_percentage,subcutaneous_fat,visceral_fat,lean_meat_yield,residual_average_daily_gain,dry_matter_intake,yearling_weight,working_weight,birth_weight,calving_ease_direct,yearling_height,type_of_bull,age_at_collection,mature_height,mature_weight,price_of_semen,bull_name
1,0.5,15.9,9.8,57.2,0.9,0.3,61.7,2.2,0.5,507.1,975.1,49.2,6.2,56.0,Hereford,2.5,65.6,1962.4,64.3,Majestic Bull
2,0.5,14.7,3.5,60.0,0.1,0.2,67.1,3.2,1.4,727.4,959.0,92.1,4.1,57.5,Brangus,2.4,50.6,2008.4,46.3,Majestic Stallion
3,0.5,15.4,5.1,57.0,0.6,0.3,60.0,2.3,2.9,1057.3,884.3,104.1,4.5,52.9,Beefmaster,2.7,66.4,2112.6,56.3,Majestic Sire
4,0.3,11.3,1.0,57.0,1.1,0.4,56.2,2.4,3.7,827.6,999.5,84.3,1.7,53.2,Limousin,3.2,50.7,2315.9,45.6,Majestic Male
5,0.5,15.0,5.8,58.2,1.2,0.3,57.7,3.2,3.3,977.5,873.9,90.0,2.1,58.6,Brangus,3.1,57.3,1687.6,55.8,Majestic Bullfighter
6,0.4,14.6,9.0,58.5,1.2,0.2,58.3,2.1,3.0,856.9,723.2,111.9,1.6,57.9,Santa Gertrudis,1.8,48.7,2043.4,56.6,Majestic Beast
7,0.4,13.9,8.2,61.1,0.8,0.3,71.9,2.4,0.1,800.2,967.0,60.2,3.6,53.2,Brangus,6.9,52.5,2372.0,53.9,Majestic Brute
8,0.5,13.1,4.8,63.2,0.3,0.2,69.5,2.1,1.3,665.0,920.2,115.2,4.4,53.2,Limousin,2.5,71.1,2008.5,74.1,Majestic Charger
9,0.5,14.6,6.4,61.0,1.2,0.3,55.9,2.8,2.6,939.2,1232.4,102.0,6.8,50.1,Brahman,1.8,52.8,2575.5,79.5,Majestic Dominator
10,0.4,17.1,7.9,59.1,1.2,0.3,60.6,3.1,-2.4,453.8,683.5,109.2,0.3,57.5,Santa Gertrudis,4.3,50.5,1896.6,57.2,Majestic Leader
11,0.6,16.3,4.8,64.1,0.8,0.4,53.6,2.1,2.6,531.2,1200.3,55.1,2.0,55.5,Hereford,2.0,57.3,1678.9,56.9,Majestic Fighter
12,0.6,16.0,1.9,60.1,0.7,0.2,54.6,2.6,2.8,780.0,876.4,101.2,5.2,55.1,Gelbvieh,1.5,65.3,2137.3,50.1,Majestic Champion
13,0.4,14.6,6.2,60.6,0.7,0.3,45.9,2.6,1.2,1097.6,806.0,67.6,4.0,53.0,Limousin,4.1,64.7,2052.2,53.7,Majestic Ruler
14,0.6,11.0,4.8,58.4,0.5,0.2,63.1,2.0,3.5,858.4,725.5,100.0,4.5,51.2,Brangus,3.6,56.1,2160.7,52.7,Majestic Protector
15,0.4,16.2,4.9,55.0,0.8,0.3,63.8,2.1,4.6,846.3,798.4,86.0,4.0,57.5,Simmental,2.4,60.7,2200.5,61.4,Majestic Guardian
16,0.4,14.6,10.9,58.5,0.8,0.3,58.6,1.7,4.6,714.7,897.8,68.8,5.4,57.1,Beefmaster,2.4,52.0,1964.4,62.9,Majestic Alpha
17,0.5,15.8,7.1,59.6,1.1,0.3,54.7,2.4,1.7,836.1,993.2,78.7,6.4,54.4,Brangus,3.4,55.9,1522.4,21.1,Majestic Powerhouse
18,0.5,15.1,8.1,60.9,0.8,0.4,55.3,2.4,0.7,518.0,1024.1,83.6,5.9,54.3,Simmental,2.9,67.1,2106.8,51.2,Majestic Monster
